PMID,cell_type,marker_genes,species,tissue_type,DB_name
34081913,acinar cell,CPB1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,SPINK1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,CPB1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,CPA2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,RGS4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,TM4SF4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,SMARCA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,RFX6,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,KLHL41,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,GCG,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,human beta cell,INS,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,OLFM4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,SPINK1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPB1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,GCG,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,INS,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,OLFM4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,SPINK1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPB1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,acinar cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,RGS4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,TM4SF4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,SMARCA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,RFX6,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,KLHL41,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,GCG,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,OLFM4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,SPINK1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,CPB1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,CPA2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,alpha cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,OLFM4,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,SPINK1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,CPB1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,CPA2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,CPA1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,PRSS2,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34081913,beta cell,PRSS1,human,pancrea|insulin-secreting cell,MarkerGeneBERT
34083789,microglia,TMEM119,human,brain|blood,MarkerGeneBERT
34083789,microglia,CX3CR1,human,brain|blood,MarkerGeneBERT
34083789,microglia,P2RY12,human,brain|blood,MarkerGeneBERT
34088262,proliferating neural progenitor,GNG3,human,brain|neural,MarkerGeneBERT
34088262,neuronal,SATB2,human,brain|neural,MarkerGeneBERT
34088262,neuronal,CUX1,human,brain|neural,MarkerGeneBERT
34099557,renal stem cell-like,ICAM1,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell-like,VIM,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell-like,VCAM1,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell-like,ICAM1,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell-like,VIM,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell-like,VCAM1,human,kidney|medulla,MarkerGeneBERT
34099557,principal cell,PC,human,kidney|medulla,MarkerGeneBERT
34099557,IC-A,FOXI1,human,kidney|medulla,MarkerGeneBERT
34099557,IC-A,SLC4A1,human,kidney|medulla,MarkerGeneBERT
34099557,CNT,CALB1,human,kidney|medulla,MarkerGeneBERT
34099557,PT cell,PDZK1IP1,human,kidney|medulla,MarkerGeneBERT
34099557,human immune subset,SI,human,kidney|medulla,MarkerGeneBERT
34099557,human immune subset,SI,human,kidney|medulla,MarkerGeneBERT
34099557,PT-C cell,KLK6,human,kidney|medulla,MarkerGeneBERT
34099557,PT-C cell,CFH,human,kidney|medulla,MarkerGeneBERT
34099557,PT-C cell,PIGR,human,kidney|medulla,MarkerGeneBERT
34099557,PT-B cell,ALPK2,human,kidney|medulla,MarkerGeneBERT
34099557,PT-B cell,ITGB8,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell,VCAM1,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell,VIM,human,kidney|medulla,MarkerGeneBERT
34099557,renal stem cell,ICAM1,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,VWF,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,ACKR1,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,SOST,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,HSPG2,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,PLVAP,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,VWF,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,ACKR1,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,SOST,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,HSPG2,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,PLVAP,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,SI,human,kidney|medulla,MarkerGeneBERT
34099557,stem,ICAM1,human,kidney|medulla,MarkerGeneBERT
34099557,stem,VIM,human,kidney|medulla,MarkerGeneBERT
34099557,stem,VCAM1,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,PECAM1,human,kidney|medulla,MarkerGeneBERT
34099557,endothelial,PECAM1,human,kidney|medulla,MarkerGeneBERT
34099760,immune cell,IL2R,human,vessel|intracellular,MarkerGeneBERT
34099760,immune cell,STAT,human,vessel|intracellular,MarkerGeneBERT
34099859,nail-specific epithelial cell population,WNT6,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,nail-specific epithelial cell population,SPINK6,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,mesenchymal cell,RSPO4,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,mesenchymal cell,MME,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,follicular dermal papilla cell,RSPO4,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,melanocyte,PMEL,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,melanocyte,NRXN1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,neural cell,NRXN1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,chondrocyte,COL9A2,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,eccrine duct cell,DEFB1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,eccrine gland cell,SCGB1B2P,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,mast cell,TPSB2,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,dendritic cell,AIF1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,macrophage,AIF1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,lymphocyte,PTPRC,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,endothelial cell,VWF,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,fibroblast,COL1A1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,keratinocyte,WNT6,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,keratinocyte,SPINK6,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,cornified cell,SPRR1B,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,proliferating keratinocyte,MKI67,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,suprabasal keratinocyte,KRT10,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,suprabasal keratinocyte,KRT1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,Basal keratinocyte,KRT14,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,Basal keratinocyte,KRT1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,Basal keratinocyte,KRT5,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,cornified cell,SPRR1B,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,proliferating keratinocyte,MKI67,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,suprabasal keratinocyte,KRT10,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,suprabasal keratinocyte,KRT1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,Basal keratinocyte,KRT14,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,Basal keratinocyte,KRT1,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,Basal keratinocyte,KRT5,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,nail stem cell,LGR6,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,nail stem cell,LGR6,human,nail|nmk|nail matrix,MarkerGeneBERT
34099859,nail-specific keratinocyte,LGR6,human,nail|nmk|nail matrix,MarkerGeneBERT
34103479,NK cell,MKI67,human,liver,MarkerGeneBERT
34108016,vascular cell,VCAM1,human,brain|blood,MarkerGeneBERT
34111027,plasma cell,XBP1,human,bone|head,MarkerGeneBERT
34112993,b CCR5,CCR5,human,arm|blood|peripheral blood,MarkerGeneBERT
34125594,human lung epithelial cell,NT5E,human,lung|lung tissue,MarkerGeneBERT
34125594,human lung epithelial cell,ADK,human,lung|lung tissue,MarkerGeneBERT
34125905,IP_0,PTN,human,brain|cortex,MarkerGeneBERT
34125905,IP_0,SOX4,human,brain|cortex,MarkerGeneBERT
34125905,IP_0,SOX11,human,brain|cortex,MarkerGeneBERT
34125905,IP_0,EOMES,human,brain|cortex,MarkerGeneBERT
34125905,subplate,ST18,human,brain|cortex,MarkerGeneBERT
34125905,subplate,NR4A2,human,brain|cortex,MarkerGeneBERT
34128959,immature neutrophil,LCN2,human,blood|ack,MarkerGeneBERT
34128959,immature neutrophil,DEFA4,human,blood|ack,MarkerGeneBERT
34128959,immature neutrophil,CEACAM8,human,blood|ack,MarkerGeneBERT
34128959,immature neutrophil,LCN2,human,blood|ack,MarkerGeneBERT
34128959,immature neutrophil,DEFA4,human,blood|ack,MarkerGeneBERT
34128959,immature neutrophil,CEACAM8,human,blood|ack,MarkerGeneBERT
34128959,mature DC,CD83,human,blood|ack,MarkerGeneBERT
34128959,inflammatory DC,FCER1A,human,blood|ack,MarkerGeneBERT
34128959,cDC2 cell,FCER1A,human,blood|ack,MarkerGeneBERT
34128959,MDSC,ARG1,human,blood|ack,MarkerGeneBERT
34128959,myeloid-derived suppressor cell,ARG1,human,blood|ack,MarkerGeneBERT
34128959,MDSC,ARG1,human,blood|ack,MarkerGeneBERT
34128959,myeloid-derived suppressor cell,ARG1,human,blood|ack,MarkerGeneBERT
34131070,macrophage,CD68,human,prostate|pelvi,MarkerGeneBERT
34131070,mesenchymal cell,FAP,human,prostate|pelvi,MarkerGeneBERT
34131070,mesenchymal cell,PDGFRB,human,prostate|pelvi,MarkerGeneBERT
34131070,macrophage,CD163,human,prostate|pelvi,MarkerGeneBERT
34131070,macrophage,CD86,human,prostate|pelvi,MarkerGeneBERT
34131070,macrophage,CD68,human,prostate|pelvi,MarkerGeneBERT
34135910,Pericyte,ACTA2,human,kidney|kidney tissue,MarkerGeneBERT
34135910,Pericyte,RGS5,human,kidney|kidney tissue,MarkerGeneBERT
34135910,principal cell,AQP3,human,kidney|kidney tissue,MarkerGeneBERT
34135910,intercalated cell,SLC4A1,human,kidney|kidney tissue,MarkerGeneBERT
34135910,intercalated cell,DMRT2,human,kidney|kidney tissue,MarkerGeneBERT
34138847,H1 cell,DNMT3B,human,hippocampu|brain|diencephalon|cortex,MarkerGeneBERT
34138847,endoderm derivatives cell,LEFTY1,human,hippocampu|brain|diencephalon|cortex,MarkerGeneBERT
34140473,hypoblast,GATA6,human,embryo|germ layer,MarkerGeneBERT
34140473,CER1 cell,GATA6,human,embryo|germ layer,MarkerGeneBERT
34140473,hypoblast,CER1,human,embryo|germ layer,MarkerGeneBERT
34140473,human ESC,FGF2,human,embryo|germ layer,MarkerGeneBERT
34140473,fibroblast,FGF2,human,embryo|germ layer,MarkerGeneBERT
34140473,human ESC,FGF2,human,embryo|germ layer,MarkerGeneBERT
34140473,fibroblast,FGF2,human,embryo|germ layer,MarkerGeneBERT
34140473,trophoblast,TPM1,human,embryo|germ layer,MarkerGeneBERT
34140473,trophoblast,KRT19,human,embryo|germ layer,MarkerGeneBERT
34140473,trophoblast,HIST1H4C,human,embryo|germ layer,MarkerGeneBERT
34140473,trophoblast,FABP5,human,embryo|germ layer,MarkerGeneBERT
34140473,trophoblast,PEG10,human,embryo|germ layer,MarkerGeneBERT
34140473,ICM,OTX2,human,embryo|germ layer,MarkerGeneBERT
34140473,ICM,FGF5,human,embryo|germ layer,MarkerGeneBERT
34140509,mesenchymal fibroblast,ACTA2,human,dermi|skin,MarkerGeneBERT
34140509,myofibroblast,ACTA2,human,dermi|skin,MarkerGeneBERT
34140509,Mesenchymal fibroblast,NREP,human,dermi|skin,MarkerGeneBERT
34140509,Mesenchymal fibroblast,ADAM12,human,dermi|skin,MarkerGeneBERT
34140509,endothelial lineage,ENG,human,dermi|skin,MarkerGeneBERT
34140509,fibroblast lineage,COL1A1,human,dermi|skin,MarkerGeneBERT
34140509,endothelial lineage,COL1A1,human,dermi|skin,MarkerGeneBERT
34140509,papillary fibroblast,COL23A1,human,dermi|skin,MarkerGeneBERT
34140509,papillary fibroblast,COL18A1,human,dermi|skin,MarkerGeneBERT
34140509,fibroblast,NREP,human,dermi|skin,MarkerGeneBERT
34140509,fibroblast,COMP,human,dermi|skin,MarkerGeneBERT
34140509,fibroblast,ADAM12,human,dermi|skin,MarkerGeneBERT
34140509,fibroblast,POSTN,human,dermi|skin,MarkerGeneBERT
34140509,mesenchymal progenitor,COL11A1,human,dermi|skin,MarkerGeneBERT
34140509,mesenchymal progenitor,POSTN,human,dermi|skin,MarkerGeneBERT
34140509,mesenchymal progenitor,POSTN,human,dermi|skin,MarkerGeneBERT
34140509,mesenchymal progenitor,COL11A1,human,dermi|skin,MarkerGeneBERT
34140509,Mesenchymal fibroblast,POSTN,human,dermi|skin,MarkerGeneBERT
34140509,Mesenchymal fibroblast,COL11A1,human,dermi|skin,MarkerGeneBERT
34140608,S6A,GFAP,human,blood|colon,MarkerGeneBERT
34140608,glial cell,GFAP,human,blood|colon,MarkerGeneBERT
34140608,glial cell,S100B,human,blood|colon,MarkerGeneBERT
34140608,glial cell,PLP1,human,blood|colon,MarkerGeneBERT
34140698,Purkinje cell cluster,EBF2,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,Purkinje cell cluster,PLCB4,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,Purkinje cell cluster,RORA,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,RL lineage,CALCA,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,RL lineage,CALCB,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,EGL,PAX6,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,EGL,ATOH1,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,granule cell,PAX6,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,Purkinje cell,PCP2,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,Purkinje cell,ALDOC,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,immature Purkinje cell,SKOR2,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,granule cell,GABRA6,human,cerebellum|fetal|lcm,MarkerGeneBERT
34140698,granule cell,PAX6,human,cerebellum|fetal|lcm,MarkerGeneBERT
34145229,astrocyte,GFAP,human,brain,MarkerGeneBERT
34145229,oligodendrocyte,OLIG1,human,brain,MarkerGeneBERT
34145229,interneuron,VIP,human,brain,MarkerGeneBERT
34145229,interneuron,SST,human,brain,MarkerGeneBERT
34145229,interneuron,GAD1,human,brain,MarkerGeneBERT
34145229,excitatory neuron,SLC17A7,human,brain,MarkerGeneBERT
34147519,CD8+CD103– nonresident,DCC,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,CD8+CD69+CD103 + TRM cell,DCC,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,CD8 + TRM cell,IFNG,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,TRM cell,CD69,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,B cell,CD20,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,B cell,MS4A1,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,B cell,CD19,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,B cell,CD22,human,tail|ulcerative|colon,MarkerGeneBERT
34147519,B cell,DCC,human,tail|ulcerative|colon,MarkerGeneBERT
34153003,macrophage,CD163,human,pulmonary,MarkerGeneBERT
34153003,macrophage,CD68,human,pulmonary,MarkerGeneBERT
34153003,macrophage,CD163,human,pulmonary,MarkerGeneBERT
34153003,macrophage,CD68,human,pulmonary,MarkerGeneBERT
34153003,neutrophil,CD163,human,pulmonary,MarkerGeneBERT
34153003,neutrophil,CD68,human,pulmonary,MarkerGeneBERT
34153003,NK cell,KLRB1,human,pulmonary,MarkerGeneBERT
34153003,T cell,KLRB1,human,pulmonary,MarkerGeneBERT
34153003,NK cell,CD69,human,pulmonary,MarkerGeneBERT
34153003,T cell,CD69,human,pulmonary,MarkerGeneBERT
34153003,NK cell,IL7R,human,pulmonary,MarkerGeneBERT
34153003,T cell,IL7R,human,pulmonary,MarkerGeneBERT
34153003,NK cell,CD3D,human,pulmonary,MarkerGeneBERT
34153003,T cell,CD3D,human,pulmonary,MarkerGeneBERT
34153003,macrophage,CD163,human,pulmonary,MarkerGeneBERT
34153003,macrophage,CD68,human,pulmonary,MarkerGeneBERT
34153003,killer cell,KLRB1,human,pulmonary,MarkerGeneBERT
34153003,endothelial cell,CDH5,human,pulmonary,MarkerGeneBERT
34153003,endothelial cell,CD34,human,pulmonary,MarkerGeneBERT
34153003,endothelial cell,VWF,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,DES,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,ACTA2,human,pulmonary,MarkerGeneBERT
34153003,CRISPLD2 + cell,CRISPLD2,human,pulmonary,MarkerGeneBERT
34153003,mast cell,TPSB2,human,pulmonary,MarkerGeneBERT
34153003,mast cell,TPSB2,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,COL3A1,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,COL1A1,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,PDGFRB,human,pulmonary,MarkerGeneBERT
34153003,cancer stem cell,CTNNB1,human,pulmonary,MarkerGeneBERT
34153003,T cell,CD69,human,pulmonary,MarkerGeneBERT
34153003,T cell,CD3D,human,pulmonary,MarkerGeneBERT
34153003,cancer stem cell,TP53,human,pulmonary,MarkerGeneBERT
34153003,cancer stem cell,CTNNB1,human,pulmonary,MarkerGeneBERT
34153003,cancer stem cell,TP53,human,pulmonary,MarkerGeneBERT
34153003,cancer stem cell,CTNNB1,human,pulmonary,MarkerGeneBERT
34153003,endothelial cell,CD34,human,pulmonary,MarkerGeneBERT
34153003,mast cell,TPSAB1,human,pulmonary,MarkerGeneBERT
34153003,mast cell,SLC18A2,human,pulmonary,MarkerGeneBERT
34153003,mast cell,TPSB2,human,pulmonary,MarkerGeneBERT
34153003,endothelial cell,CDH5,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,MYH11,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,CNN1,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,DES,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,PDGFRA,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,S100A4,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,COL3A1,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,COL1A1,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,PDGFRB,human,pulmonary,MarkerGeneBERT
34153003,fibroblast,ACTA2,human,pulmonary,MarkerGeneBERT
34155230,Organoid GC population,GC,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,14PCW GC progenitor,GC,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,PN,NRG1,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,PN,NRG1,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,VZ precursor,KIRREL2,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,DCN neuron,DCX,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,EGL,FOXM1,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,PN,PSAP,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,PLTP,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,SPARCL1,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,IGFBP5,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,KRT18,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,WNT2B,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,TPBG,human,cerebellar|cerebellum,MarkerGeneBERT
34155230,endothelial,ANXA2,human,cerebellar|cerebellum,MarkerGeneBERT
34156975,T cell,CD69,human,cervix uteri|cervical,MarkerGeneBERT
34156975,fibroblast,SFRP2,human,cervix uteri|cervical,MarkerGeneBERT
34160241,DC,CD86,human,blood,MarkerGeneBERT
34160241,DC,CD40,human,blood,MarkerGeneBERT
34160241,DC,CD38,human,blood,MarkerGeneBERT
34160241,myeloid APC,APC,human,blood,MarkerGeneBERT
34160241,HLADR+ CD11c+,APC,human,blood,MarkerGeneBERT
34160241,myeloid APC,CD14,human,blood,MarkerGeneBERT
34160241,monocyte,CD14,human,blood,MarkerGeneBERT
34160241,bystander cell,CD38,human,blood,MarkerGeneBERT
34160241,bystander cell,CD86,human,blood,MarkerGeneBERT
34160241,infected cell,CD38,human,blood,MarkerGeneBERT
34160241,infected cell,CD86,human,blood,MarkerGeneBERT
34160241,myeloid APC,APC,human,blood,MarkerGeneBERT
34160241,DC,CD38,human,blood,MarkerGeneBERT
34160241,monocyte,CD38,human,blood,MarkerGeneBERT
34160241,human monocyte,CD38,human,blood,MarkerGeneBERT
34162837,mesenchymal progenitor cell,EGFR,human,kidney|fetal kidney|fetal,MarkerGeneBERT
34162837,mesenchymal progenitor cell,NTRK3,human,kidney|fetal kidney|fetal,MarkerGeneBERT
34162837,tumor cell,EGFR,human,kidney|fetal kidney|fetal,MarkerGeneBERT
34162837,tumor cell,SMARCA4,human,kidney|fetal kidney|fetal,MarkerGeneBERT
34162837,tumor cell,SMARCA2,human,kidney|fetal kidney|fetal,MarkerGeneBERT
34162837,mast cell,TPSB2,human,kidney|fetal kidney|fetal,MarkerGeneBERT
34162860,HSPC,CD34,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,HSPC,CD34,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,HSPC,GATA2,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,HSPC,SPINK2,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,HSPC,CD34,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,myeloid lineage,CD33,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,myeloid lineage,TMEM119,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,myeloid lineage,ITGAM,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,myeloid lineage,CD14,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,myeloid lineage,ITGAM,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,myeloid lineage,CD14,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,HSPC,CD34,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162860,HSPC,PTPRC,human,glioblastoma|brain|bone marrow,MarkerGeneBERT
34162888,FOXP3^hi subset,IL2RA,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,FOXP3,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,IL2RA,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,FOXP3,human,bone marrow|blood,MarkerGeneBERT
34162888,I cell,SUB1,human,bone marrow|blood,MarkerGeneBERT
34162888,I cell,FOXP3,human,bone marrow|blood,MarkerGeneBERT
34162888,CD4^+ T cell,FOXP3,human,bone marrow|blood,MarkerGeneBERT
34162888,CD4^+ T cell,FOXP3,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,SELL,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,CXCR4,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,CCR4,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,CTLA4,human,bone marrow|blood,MarkerGeneBERT
34162888,FOXP3^hi subset,IL2RA,human,bone marrow|blood,MarkerGeneBERT
34162888,MKI67^hi subset,II,human,bone marrow|blood,MarkerGeneBERT
34176785,neuron,Mc4r,human,hindbrain|dvc|brain,MarkerGeneBERT
34176785,oligodendrocyte,Gipr,human,hindbrain|dvc|brain,MarkerGeneBERT
34176785,Glu4c neuron,Gfral,human,hindbrain|dvc|brain,MarkerGeneBERT
